area	amenities	floors	bedrooms	bathrooms	property_type	selling_type	road_size	road_type	location_two
19.0	5	2.5	2.5	2.5	2.0	0.0	14.0	22.0	17.0
5.0	5	2.5	2.5	2.5	2.0	1.0	14.0	19.0	4.0
4.0	5	3.0	2.5	2.5	2.0	1.0	10.0	20.0	4.0
3.0	4	2.5	2.5	2.5	2.0	1.0	8.0	22.0	6.0
3.0	6	3.0	4.0	2.5	2.0	1.0	10.0	20.0	27.0
3.75	5	2.5	4.0	2.5	2.0	1.0	13.0	19.0	17.0
4.25	4	2.5	2.5	2.5	2.0	1.0	0.0	19.0	6.0
7.0	6	2.5	4.0	5.0	2.0	1.0	13.0	19.0	17.0
5.0	5	2.5	5.0	3.0	2.0	1.0	18.0	19.0	17.0
4.25	5	2.0	4.0	3.0	2.0	1.0	36.0	19.0	15.0
12.0	5	3.0	7.0	3.0	2.0	1.0	13.0	19.0	19.0
7.0	5	2.5	4.0	5.0	2.0	1.0	13.0	22.0	17.0
4.0	5	4.0	7.0	2.5	2.0	1.0	12.0	19.0	15.0
3.75	4	2.0	1.0	2.5	2.0	1.0	8.0	19.0	15.0
4.5	5	2.0	3.0	2.5	2.0	1.0	12.0	19.0	17.0
3.0	5	2.5	4.0	3.0	2.0	1.0	10.0	19.0	17.0
7.0	5	2.5	4.0	3.0	2.0	1.0	13.0	19.0	21.0
4.0	5	3.0	4.0	2.5	2.0	1.0	12.0	19.0	21.0
3.0	4	1.0	2.0	2.5	2.0	1.0	4.0	19.0	25.0
4.0625	5	3.0	6.0	4.0	2.0	1.0	10.0	20.0	21.0
31.95032871	5	3.0	6.0	2.5	2.0	1.0	13.0	19.0	15.0
11.0	5	3.0	11.0	2.5	2.0	1.0	13.0	19.0	15.0
5.0	5	2.0	2.5	2.5	2.0	1.0	10.0	21.0	12.0
8.25	5	3.5	7.0	8.0	2.0	1.0	15.0	19.0	4.0
3.5	5	2.5	5.0	4.0	2.0	1.0	13.0	22.0	4.0
6.0	5	5.5	2.5	2.5	2.0	0.0	4.0	19.0	15.0
7.25	5	3.5	7.0	5.0	2.0	1.0	13.0	19.0	4.0
5.0	9	5.5	2.5	10.0	0.0	1.0	22.0	19.0	17.0
14.75	5	4.0	4.0	6.0	2.0	1.0	12.0	19.0	27.0
3.5	5	2.5	4.0	4.0	2.0	0.0	12.0	19.0	17.0
5.0	5	3.0	3.0	4.0	2.0	1.0	13.0	19.0	17.0
4.0	4	2.5	5.0	6.0	2.0	1.0	12.0	22.0	17.0
12.0	6	2.5	4.0	2.5	2.0	1.0	26.0	19.0	17.0
5.0	5	2.5	6.0	3.0	2.0	0.0	16.0	19.0	15.0
3.75	5	2.5	5.0	4.0	2.0	1.0	22.0	19.0	17.0
4.0	5	2.5	6.0	5.0	2.0	1.0	25.0	19.0	4.0
5.0	3	5.0	2.5	2.5	0.0	1.0	22.0	19.0	17.0
5.5	5	3.0	2.5	2.5	2.0	1.0	13.0	19.0	21.0
26.0	5	1.0	4.0	2.5	2.0	0.0	10.0	19.0	15.0
20.0	5	2.5	5.0	5.0	2.0	0.0	16.0	19.0	4.0
14.0	5	3.5	6.0	4.0	2.0	1.0	13.0	19.0	17.0
4.25	9	2.5	4.0	4.0	2.0	1.0	20.0	19.0	22.0
64.0	6	2.0	10.0	10.0	2.0	1.0	13.0	19.0	11.0
4.25	12	2.5	5.0	4.0	2.0	1.0	20.0	19.0	17.0
4.25	5	2.5	5.0	3.0	2.0	0.0	16.0	19.0	17.0
4.25	13	2.5	4.0	5.0	2.0	1.0	20.0	19.0	17.0
6.75	5	2.0	6.0	5.0	2.0	1.0	11.0	19.0	15.0
8.0	7	2.0	4.0	4.0	2.0	1.0	32.0	19.0	17.0
10.5	13	5.0	10.0	2.5	2.0	1.0	13.0	21.0	15.0
9.5	3	2.5	4.0	3.0	2.0	1.0	20.0	21.0	11.0
13.0	7	2.5	5.0	2.5	2.0	0.0	20.0	19.0	17.0
9.0	8	2.5	5.0	2.5	2.0	1.0	20.0	19.0	15.0
10.0	8	2.5	5.0	2.5	2.0	1.0	13.0	21.0	15.0
5.0	8	2.5	5.0	2.5	2.0	1.0	13.0	19.0	4.0
3.375	7	2.5	6.0	3.0	2.0	1.0	13.0	19.0	12.0
3.0	5	1.0	2.0	1.0	2.0	1.0	13.0	22.0	12.0
6.25	5	2.0	4.0	3.0	2.0	1.0	13.0	19.0	17.0
2.625	3	4.0	6.0	4.0	2.0	1.0	26.0	19.0	15.0
6.0	8	2.5	6.0	4.0	2.0	1.0	13.0	20.0	4.0
6.5	6	2.5	6.0	6.0	2.0	1.0	15.0	21.0	4.0
5.0	10	2.5	5.0	5.0	2.0	0.0	13.0	19.0	21.0
28.0	5	2.5	2.5	7.0	2.0	0.0	12.0	19.0	17.0
4.0	9	2.5	4.0	4.0	2.0	0.0	14.0	19.0	15.0
3.0	7	2.5	2.5	2.5	2.0	1.0	20.0	19.0	19.0
3.25	5	3.5	2.5	2.5	2.0	1.0	10.0	21.0	15.0
4.5	5	2.5	8.0	6.0	2.0	1.0	13.0	20.0	19.0
3.0	4	2.5	4.0	3.0	2.0	1.0	10.0	22.0	27.0
4.0	5	2.5	4.0	4.0	2.0	1.0	16.0	22.0	19.0
7.0	4	2.5	4.0	4.0	2.0	1.0	13.0	19.0	15.0
3.75	5	2.5	5.0	3.0	2.0	0.0	13.0	19.0	19.0
6.25	8	2.0	2.0	2.5	2.0	0.0	20.0	21.0	21.0
16.0	6	2.0	7.0	7.0	2.0	0.0	15.0	19.0	17.0
3.375	4	2.5	3.0	4.0	2.0	1.0	13.0	19.0	19.0
9.25	4	4.5	12.0	4.0	2.0	1.0	10.0	19.0	17.0
3.75	5	3.0	2.5	2.5	2.0	1.0	15.0	19.0	27.0
17.0	6	3.5	6.0	5.0	2.0	1.0	17.0	19.0	4.0
4.0	5	2.5	11.0	2.0	2.0	1.0	13.0	19.0	15.0
4.0	5	2.5	2.5	2.5	2.0	1.0	10.0	19.0	15.0
5.25	4	2.5	2.5	2.5	2.0	0.0	10.0	19.0	15.0
4.0	6	2.5	4.0	4.0	2.0	1.0	20.0	19.0	25.0
4.0	5	2.5	5.0	5.0	2.0	0.0	20.0	19.0	15.0
25.0	6	2.5	4.0	4.0	2.0	0.0	20.0	19.0	15.0
13.25	6	2.5	7.0	5.0	2.0	0.0	20.0	19.0	15.0
